문장,class1(input),class2(output),class3(model),s_n
최근에 찍은 해외 여행 사진들 중 도시 사진들을 분류하고 싶어요. 도시 분류 모델을 추천해 주세요.,image,classification,efficientNet,2
가을에 찍은 등산 사진들을 보며 산의 이름을 분류하고 싶어요. 산 이름을 분류해줄 수 있는 모델을 추천해 주세요.,image,classification,efficientNet,2
가족들과 함께 찍은 여행 사진을 보면서 지역을 분류하고 싶어요. 지역을 분류해줄 수 있는 모델을 추천해 주세요.,image,classification,efficientNet,2
"새로운 취미로 골프를 시작했는데, 골프장에서 찍은 사진들 중에 골프채를 분류하고 싶어요. 골프채를 분류해줄 수 있는 모델을 추천해 주세요.",image,classification,efficientNet,2
"최근에 만든 인테리어를 사진으로 찍어봤는데, 가구들을 분류하고 싶어요. 가구를 분류해줄 수 있는 모델을 추천해 주세요.",image,classification,efficientNet,2
"요즘 취미가 커피 추출이라서, 커피 용품들을 분류하고 싶어요. 커피 용품을 분류해줄 수 있는 모델을 추천해 주세요.",image,classification,efficientNet,2
가을에 찍은 단풍 나무 사진들 중에서 나무 종류를 분류하고 싶어요. 나무 종류를 분류해줄 수 있는 모델을 추천해 주세요.,image,classification,efficientNet,2
가족들과 함께 한 해외 여행 사진 중에서 건물을 분류하고 싶어요. 건물을 분류해줄 수 있는 모델을 추천해 주세요.,image,classification,efficientNet,2
"요즘 취미가 미니어처 모형 수집이라서, 모형의 브랜드를 분류하고 싶어요. 모형 브랜드를 분류해줄 수 있는 모델을 추천해 주세요.",image,classification,efficientNet,2
여름에 찍은 바다 사진 중에서 해변에서 찍은 우산을 분류하고 싶어요. 우산을 분류해줄 수 있는 모델을 추천해 주세요.,image,classification,efficientNet,2
"나는 최근에 여행을 다녀와서 사진을 찍었는데, 그 중에서 건축물 스타일을 분류하고 싶어. 어떤 방법이 있을까?",image,classification,efficientNet,2
이번에 찍은 산책 사진들 중에서 강아지 종류를 분류하고 싶어. 강아지 분류 모델을 추천해 줄 수 있을까?,image,classification,efficientNet,2
"어머니가 요리를 취미로 하고 있고, 요리 사진들 중 음식 종류를 분류하고 싶어. 음식 분류 모델을 추천해 줄 수 있을까?",image,classification,efficientNet,2
"최근에 새로 구입한 가구들을 사진으로 찍었는데, 가구 스타일을 분류하고 싶어. 가구 분류 모델을 추천해 줄 수 있을까?",image,classification,efficientNet,2
"아버지가 새로운 커피 브랜드를 발견해서 사진을 찍었는데, 커피 종류를 분류하고 싶어. 커피 분류 모델을 추천해 줄 수 있을까?",image,classification,efficientNet,2
최근에 자연에서 찍은 사진들 중 나무 종류를 분류하고 싶어. 나무 분류 모델을 추천해 줄 수 있을까?,image,classification,efficientNet,2
"삼촌이 새로운 음악 앨범을 발견해서 앨범 커버를 사진으로 찍었는데, 앨범 커버를 통해 음악 장르를 분류하고 싶어. 어떤 모델을 추천해 줄 수 있을까?",image,classification,efficientNet,2
친구가 최근에 본 영화 포스터들 중 장르를 분류하고 싶어 해. 영화 장르 분류 모델을 추천해 줄 수 있을까?,image,classification,efficientNet,2
요즘 홈 카페를 즐기고 있어서 커피 아트를 찍은 사진들 중 커피 아트 스타일을 분류하고 싶어. 커피 아트 분류 모델을 추천해 줄 수 있을까?,image,classification,efficientNet,2
"최근에 새로운 스마트폰을 구입해서 사진을 찍었는데, 스마트폰 브랜드를 분류하고 싶어. 스마트폰 브랜드 분류 모델을 추천해 줄 수 있을까?",image,classification,efficientNet,2
최근 찍은 봄꽃 사진들 중 꽃 종류를 분류하고 싶어. 어떻게 해야 할까?,image,classification,efficientNet,2
최근에 찍은 바다 사진들 중 파도 스타일을 분류하고 싶어. 어떤 방법이 효과적일까?,image,classification,efficientNet,2
최근에 찍은 가을풍경 사진들 중 나무 종류를 분류하고 싶어. 어떻게 시작해야 할까?,image,classification,efficientNet,2
최근에 찍은 밤하늘 사진들 중 별자리를 분류하고 싶어. 어떻게 해야 할까?,image,classification,efficientNet,2
가족들과 함께 찍은 추억의 사진들 중에서 가족 구성원들의 포즈를 분류하고 싶어. 어떤 방식이 좋을까?,image,classification,efficientNet,2
요즘 취미로 찍은 도시 풍경 사진들 중 건물의 구조와 건축 양식을 분류하고 싶어. 이를 위한 방법이 있을까?,image,classification,efficientNet,2
최근에 찍은 애완동물 사진들 중 고양이와 개의 털 무늬를 분류하고 싶어. 어떤 방식이 좋을까?,image,classification,efficientNet,2
요즘 찍은 자연 풍경 사진들 중 구름과 하늘 색상을 분류하고 싶어. 이를 위한 방법이 있을까?,image,classification,efficientNet,2
최근에 찍은 카페 인테리어 사진들 중 커피 머신과 의자의 디자인을 분류하고 싶어. 이를 위한 조언이 있을까?,image,classification,efficientNet,2
가족들과 함께 찍은 크리스마스 파티 사진들 중 각자의 의상 스타일을 분류하고 싶어. 이를 위한 방법이 있을까?,image,classification,efficientNet,2
이번 주말에 찍은 해외 거리음식 사진 중에서 국가별 요리 스타일을 분류하고 싶어 해. 어떤 방법이 좋을까?,image,classification,efficientNet,2
내가 여행한 유럽 국가들에서 찍은 사진들 중 건축 양식을 분류하고 싶어. 어떻게 해야 할까?,image,classification,efficientNet,2
친구들과 함께 찍은 산속 사진들 중 나무 종류를 분류하고 싶어. 분류 방법이 궁금해.,image,classification,efficientNet,2
최근에 찍은 낚시 사진들 중 물고기 종류를 분류하고 싶어. 어떤 방식으로 해야 할까?,image,classification,efficientNet,2
사진첩에 있는 여름 사진들 중 해변의 모래사장을 분류하고 싶어. 분류 방법이 궁금해.,image,classification,efficientNet,2
도심 속 건물들 중 건축 양식을 분류하고 싶어. 분류 방법을 알려줘.,image,classification,efficientNet,2
여행 중 찍은 사진들 중 각 지역의 특산물을 분류하고 싶어. 분류 방법을 추천해줘.,image,classification,efficientNet,2
집안에 있는 인테리어 사진들 중 가구 스타일을 분류하고 싶어. 어떻게 해야 할까?,image,classification,efficientNet,2
최근에 찍은 사진들 중 동물 종류를 분류하고 싶어. 분류 방법을 알려줘.,image,classification,efficientNet,2
사진첩에 있는 바다 사진들 중 바닷물 색상을 분류하고 싶어. 어떤 방식이 좋을까?,image,classification,efficientNet,2
가족과 함께 찍은 사진들 중 옷 스타일을 분류하고 싶어. 어떻게 해야 할까?,image,classification,efficientNet,2
최근에 찍은 여행 사진들 중 지역별 음식을 분류하고 싶어. 어떤 방법이 좋을까?,image,classification,efficientNet,2
사진첩에 있는 자연 사진들 중 풍경 스타일을 분류하고 싶어. 분류 방법을 알려줘.,image,classification,efficientNet,2
"요즘 나는 취미로 동물 사진을 찍는데, 동물 종류를 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,2
내가 찍은 도시 풍경 사진들을 분류하고 싶어. 어떤 방법이 좋을까?,image,classification,efficientNet,2
"최근에 여행을 다녀와서 찍은 사진들 중, 지역별로 분류하고 싶어. 어떻게 해야 할까?",image,classification,efficientNet,2
"나는 취미로 인물 사진을 찍는데, 각 인물의 표정을 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,2
"최근에 찍은 자연 풍경 사진들 중, 계절별로 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,2
"요즘 취미가 드론으로 사진을 찍는 것인데, 찍은 사진을 고도별로 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,2
최근에 찍은 해외 여행 사진들을 국가별 분위기로 분류하고 싶어. 어떤 방법이 좋을까?,image,classification,efficientNet,2
"요즘 나는 취미로 인물 드로잉을 하고 있는데, 각 인물의 나이대별로 드로잉을 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,2
"최근에 찍은 산책 사진들 중, 전체적인 색상별로 사진들을 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,2
"나는 취미로 요리를 하고 있는데, 음식에 들어간 재료별로 음식을 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,2
최근에 찍은 동물 사진들을 동물들의 크기별로 분류하고 싶어. 어떤 방법이 좋을까?,image,classification,efficientNet,2
"취미로 밤하늘을 촬영하는데, 찍은 사진을 별자리별로 분류하고 싶어요. 이를 위한 방법이 있을까요?",image,classification,efficientNet,2
"최근에는 맛집 탐방을 취미로 하고 있는데, 사진 속 음식 종류별로 분류하고 싶어. 이를 위한 추천 방법이 있을까?",image,classification,efficientNet,2
"저는 취미로 산을 등반하며 산행 사진을 찍는데, 찍은 사진을 산봉우리의 높이에 따라 분류하고 싶어요. 어떻게 해야 할까요?",image,classification,efficientNet,2
내가 찍은 여행 사진이 너무 많아져서 정리를 하려고 해. 그런데 사진의 지역별로 분류하고 싶어. 어떻게 해야 할까?,image,classification,efficientNet,3
내가 찍은 사진들이 너무 많아져서 정리를 하려고 해. 그런데 사진의 촬영장소별로 분류하고 싶어. 도와줄 수 있을까?,image,classification,efficientNet,3
요즘 취미로 고양이 사진을 많이 찍는데 그러다가 궁금한게 생겼어. 고양이 종별로 분류할 수 있을까? 방법이 있다면 추천해줘.,image,classification,efficientNet,3
요즘 건강을 위해 산책을 자주 하다가 공원에서 나무들을 구경하다가 궁금한게 생겼어. 이 나무가 무슨 종류인지 알고 싶어. 나무 분류하는 방법이 있으면 알려줘.,image,classification,efficientNet,3
최근에 여행 다녀온 사진들을 보면서 갑자기 생각났어. 이 나라에서 본 꽃들을 어떻게 분류해야 할까? 꽃 분류하는 방법이 있다면 알려줘.,image,classification,efficientNet,3
"요즘 취미로 사진 찍기를 시작했는데, 특히 이 공원에서 촬영한 사진들을 정리하다가 궁금한 점이 생겼어. 나무들의 종류를 어떻게 알 수 있을까? 나무 분류하는 방법이 있다면 알려줘.",image,classification,efficientNet,3
찍은 수영장 사진을 보면서 생각해봤어. 이 수영장에서 사용하는 수영복들을 어떻게 구분해야 할까? 수영복 분류하는 방법이 있다면 알려줘.,image,classification,efficientNet,3
먹기 좋은 음식을 만들어서 공유하는 블로그를 운영하고 있어. 블로그에 게시되는 사진들을 음식별로 더 깔끔하게 분류하고 싶어. 어떤 방식이 있을지 추천해줘.,image,classification,efficientNet,3
지난 주말에 가족들과 함께 바다에 갔어. 그러다가 문득 사진 속에 보이는 물고기들을 구분하고 싶어졌어. 어떤 방법이 있을까?,image,classification,efficientNet,3
"여행과 관련된 이미지를 분류하고 싶습니다. 주로 해변, 산, 도심 등의 여행 사진들을 분류할 예정입니다. 이를 통해 나의 여행 경험을 더욱 즐겁게 공유할 수 있을 것 같습니다.",image,classification,efficientNet,3
"요리와 관련된 이미지를 분류하고 싶습니다. 주로 디저트, 파스타, 스테이크 등의 음식 이미지들을 분류할 계획입니다. 이를 통해 나만의 레시피를 만들 수 있을 것 같습니다.",image,classification,efficientNet,3
"자동차와 관련된 이미지를 분류하고 싶습니다. 주로 스포츠카, SUV, 트럭 등의 자동차 이미지들을 분류할 예정입니다. 이를 통해 나의 자동차 취향을 더욱 확립할 수 있을 것 같습니다.",image,classification,efficientNet,3
"공연과 관련된 이미지를 분류하고 싶습니다. 주로 연극, 뮤지컬, 콘서트 등의 공연 사진들을 분류할 계획입니다. 이를 통해 내가 좋아하는 공연을 더욱 쉽게 찾을 수 있을 것 같습니다.",image,classification,efficientNet,3
"저는 동물을 좋아해서, 동물들과 함께 사진을 찍는 취미가 있어요. 하지만 이번에 찍은 사진들을 분류하기가 어려워서 고민 중입니다. 어떻게 해야할까요?",image,classification,efficientNet,3
"제가 사는 지역에는 많은 유적지와 관광지가 있어서, 사진 찍기 좋은 곳도 많아요. 하지만 사진을 분류하기가 어려워서 고민 중입니다. 어떻게 해야할까요?",image,classification,efficientNet,3
"저는 먹는 것을 좋아해서, 요리하는 취미가 있어요. 하지만 이번에 만든 요리들의 사진을 분류하기가 어려워서 고민 중입니다. 어떻게 해야할까요?",image,classification,efficientNet,3
"사진을 많이 찍는 취미가 생겨서 자주 찍는데, 사진을 분류하는 것이 어려워 고민 중이에요. 친구들이랑 찍은 사진도 있고, 그냥 나만 찍은 사진도 있는데, 이제는 분류를 해야 할 것 같아서요. 어떻게 하면 좋을까요?",image,classification,efficientNet,3
"새로운 취미로 사진 찍기를 시작했는데, 찍은 사진을 분류하는 게 어렵네요. 여행 사진, 음식 사진, 그냥 나만 찍은 사진 등등 다양한 사진들이 섞여있어서 어떻게 해야 할지 막막해요. 좋은 분류 방법이 있을까요?",image,classification,efficientNet,3
"저는 여행을 많이 다니는데, 다녀온 곳에서 찍은 사진들을 정리하는 게 많이 어려워요. 인물 사진, 풍경 사진, 건물 사진 등 다양한 사진들이 섞여있어서 분류하는 게 어려워요. 어떻게 하면 더 효율적으로 사진을 분류할 수 있을까요?",image,classification,efficientNet,3
"스마트폰으로 많이 사진을 찍는데, 찍은 사진들을 분류하는 것이 너무 어렵네요. 가족 사진, 친구 사진, 여행 사진 등 많은 종류의 사진들이 섞여있어서 어떻게 분류해야 할지 고민 중입니다. 좋은 방법이 있을까요?",image,classification,efficientNet,3
"인테리어에 관심이 많아져서 집 안을 많이 꾸미고 있어요. 그런데 꾸민 집 안에서 찍은 사진들을 분류하는 게 너무 어려워요. 가구 사진, 장식품 사진, 방 사진 등 다양한 사진들이 섞여있어서 분류하는 데 좋은 방법이 있을까요?",image,classification,efficientNet,3
"저는 요리를 좋아하고, 최근에 만들었던 파스타 사진을 정리하고 싶어요. 이번에는 파스타에 들어간 식재료별로 분류해서 정리해볼까 고민중이에요. 어떤 방법이 좋을까요?",image,classification,efficientNet,3
"날씨가 좋아서 여행을 다녀왔는데, 찍은 사진들을 정리하려고 해요. 사진에는 여러 가지 풍경이나 건축물 등이 포함되어 있는데, 이것들을 어떤 방식으로 분류해야 할지 고민 중입니다. 추천해주세요.",image,classification,efficientNet,3
"저는 요즘 게임을 많이 하고 있는데, 게임에서 스크린샷을 많이 찍어둬요. 이제 스크린샷들을 캐릭터별로 분류하려고 합니다. 다양한 방법이 있을텐데 어떤 방법이 가장 효과적일까요?",image,classification,efficientNet,3
"집에서 시간을 보내면서 요리를 시작했어요. 최근에 만든 브런치 메뉴들을 사진으로 찍어서 인스타그램에 게시했는데, 그 사진들을 메뉴별로 정리하고 싶어요. 분류할 수 있는 좋은 방법이 있을까요?",image,classification,efficientNet,3
"취미로 수영을 하고 있는데, 수영복 사진을 정리하고 싶어요. 색상, 디자인 등으로 분류해서 정리해봐야겠어요. 어떤 방법이 좋을까요?",image,classification,efficientNet,3
저는 사랑하는 제 강아지의 사진을 많이 찍어요. 강아지의 표정이나 상황에 따라서 분류해서 정리하고 싶어요. 어떤 알고리즘이 좋을까요?,image,classification,efficientNet,3
"여행을 많이 다니는데, 여행지에서 찍은 사진들을 분류해서 정리하고 싶어요. 여행지나 날씨 등으로 분류해볼까 고민중입니다. 어떤 방법이 좋을까요?",image,classification,efficientNet,3
"매일 같이 운동을 하고 있는데, 운동 장면들을 사진으로 남겨놨어요. 종목이나 운동기구별로 분류해서 정리하고 싶어요. 어떤 방법이 좋을까요?",image,classification,efficientNet,3
제가 좋아하는 색감을 가진 사진들을 찍어요. 사진을 찍다보니 너무 많아져서 색상별로 분류해서 정리하고 싶어요. 어떤 모델이 좋을까요?,image,classification,efficientNet,3
음악을 취미로 하고 있어요. 그러다 수집한 음반 커버나 콘서트 사진 등이 너무 많아져서 커버의 색상별로 정리하고 싶어요. 방법을 추천해주세요.,image,classification,efficientNet,3
먹는 것을 좋아해서 음식 사진을 많이 찍어요. 그러다보니 자연스레 사진들이 많아져서 음식의 종류나 재료별로 분류해서 정리하고 싶어요. 어떤 방법이 좋을까요?,image,classification,efficientNet,3
책을 좋아해서 도서관이나 서점에서 사진을 많이 찍습니다. 책의 색상별로 분류해서 정리하고 싶어요. 어떤 알고리즘이 좋을까요?,image,classification,efficientNet,3
요즘 운동을 시작해서 건강한 몸을 만들고 있어. 그런데 운동을 하면서 찍은 사진을 모아보니 운동 포즈에 따라 나누어 분류해놓고 싶어. 운동 포즈를 인식하여 사진을 분류할 수 있는 알고리즘이나 모델이 있을까?,image,classification,efficientNet,3
"새로운 카메라를 구입해서 여행을 다녀왔는데, 사진이 엉망이다. 그래서 사진들을 어떻게 분류해야 할지 고민 중이야. 어떤 분류 방법이 좋을까?",image,classification,efficientNet,3
"지난 여름, 내 친구들과 해변에서 놀았을 때 찍은 사진을 발견했다. 사진 속에는 바다, 모래사장, 나와 내 친구들이 있는데 이들을 분류해서 구분하고 싶다. 어떤 알고리즘이 좋을까?",image,classification,efficientNet,3
나는 지난 여름에 유럽 여행을 다녀왔다. 파리에서 찍은 사진들이나 이탈리아에서 찍은 사진들 등을 서로 분류해서 보관하고 싶다. 어떤 방법이 가장 좋을까?,image,classification,efficientNet,3
"최근에 새로운 카메라를 샀는데, 그 카메라로 찍은 사진들을 분류하고 싶다. 예를 들어, 풍경, 동물, 사람 등을 분류해서 볼 수 있도록 하고 싶다. 어떤 알고리즘이나 모델이 가장 효과적일까?",image,classification,efficientNet,3
"나는 최근에 스케이트보드를 시작한 초보 라이더이다. 스케이트보드를 타는 내 모습을 찍은 사진들이 있지만, 이 사진들을 보면서 내 실력을 높일 수 있는 부분들을 파악하기 어렵다. 이 사진들을 분류해서 내가 어떤 부분에서 더 연습을 해야 할지 알 수 있도록 하고 싶다. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"삼촌이 가족들과 함께 찍은 여름 휴가 사진을 가지고 있다. 우리는 해변에서 즐거운 시간을 보냈고, 사진에는 파도, 모래사장, 그리고 우리 가족들이 담겨 있다. 이 사진들을 분류해서 우리의 여름 휴가를 더욱 기억에 남도록 하고 싶은데, 어떤 방법이 좋을까?",image,classification,efficientNet,3
"여자친구가 새로운 카메라를 구입해서 집안을 찍은 사진을 가지고 있다. 사진에는 가구, 조명, 데코레이션 등이 포함되어 있고, 이것들을 각각의 카테고리로 분류하고 싶다. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"누나가 친구들과 함께 담은 스노우보드 여행 사진이 있어. 사진에는 설산, 스노우보드, 그리고 누나의 친구들이 담겨 있어. 이 사진을 분류해서 여행의 추억을 더욱 생생하게 기억하고 싶다는데, 어떤 방법이 좋을까?",image,classification,efficientNet,3
"새로운 반려동물을 입양해서 집에서 찍은 사진을 가지고 있다. 사진에는 강아지, 새끼 고양이, 그리고 그들이 사용하는 장난감 등이 담겨 있다. 이 사진을 분류해서 반려동물의 성격에 맞는 장난감이나 용품을 선택하는 데 도움이 되도록 하고 싶은데 어떤 방법이 좋을까?",image,classification,efficientNet,3
"취미로 걷기를 즐기는데, 걷는 길에는 많은 아름다운 꽃들이 피어있어. 이 꽃들을 찍어서 사진첩에 정리해두려고 하는데, 어떻게 분류하는 게 좋을까?",image,classification,efficientNet,3
나의 디지털 드로잉 작업물들을 정리하고 싶어. 그림에 등장하는 특정 키워드들로 나의 작업물들을 분류하려고 해. 어떤 방법이 좋을까?,image,classification,efficientNet,3
가족들과 함께 해외여행을 다녀왔어. 여행 중에 찍은 사진들을 보니 비슷한 구도와 색감으로 찍은 사진들이 많아서 구분하기가 어려워. 이 사진들을 분류해주는 방법이 있을까?,image,classification,efficientNet,3
"여행을 다녀왔는데, 찍은 사진들을 보니 그곳에서 본 식물들을 분류해서 정리하고 싶어. 분류할 때는 식물의 색, 크기, 잎의 형태 등을 고려해서 구분하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"지난 주말에 가족들과 함께 산책을 다녀와서 사진을 찍었어. 찍은 사진 속에서 가족들이 입고 있는 옷의 색상을 파악해서 분류하고 싶어. 각각의 사진마다 가족들의 옷 색상이 다르니까, 효율적인 방법을 찾고 싶어.",image,classification,efficientNet,3
"친구들과 함께 해외 여행을 다녀온 지 얼마 안 된 거 같은데, 사진을 보니 그때 찍은 거 같은데도 어디에서 찍었는지 기억이 안 나는 사진들이 많아졌어. 그래서 사진 속 배경을 보고 어느 나라, 어느 도시에서 찍었는지 분류하고 싶어. 어떻게 해야할까?",image,classification,efficientNet,3
집 근처에 있는 동물원을 방문해서 많은 사진을 찍었어. 그러다가 동물의 종류에 따라서 사진을 분류하고 싶어. 어떻게 분류하는 게 효율적일까?,image,classification,efficientNet,3
"애완동물을 입양해서 많은 사진을 찍었는데, 사진 속에서 강아지의 상태(좋은 기분, 나쁜 기분 등)를 파악해서 분류하고 싶어. 강아지의 표정, 몸짓, 귀의 방향 등을 고려해서 구분하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"형이 맛집 탐방을 즐기는데, 가끔식 사진을 찍고 SNS에 게시하곤 해. 하지만 같은 카테고리에 속하는 음식들을 분류해서 포스팅하는 게 쉽지 않아서 고민 중이야. 이를 해결할 방법이 없을까?",image,classification,efficientNet,3
"고양이와 함께 놀아주면서 사진을 찍고 있는데, 고양이가 어떤 기분인지 파악해서 사진을 분류하고 싶어. 고양이의 귀, 꼬리, 몸짓 등을 고려해서 상태를 구분하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"삼촌이 여행을 다녀와서 많은 사진을 찍었는데, 사진을 잘 구분해서 정리하고 싶어. 사진 속에 있는 사람, 건물, 자연 등을 분류해서 보관하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"누나가 디자인 작업을 하면서 많은 이미지를 사용해. 그래서 이미지의 색상, 구성 요소, 형태 등을 고려해서 분류하고 싶어. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"아버지가 식물을 키우면서 사진을 찍고 있는데, 식물의 상태를 파악해서 사진을 분류하고 싶어. 식물의 잎 모양, 색깔, 키 등을 고려해서 상태를 구분하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"동생이 레고를 시작하면서 많은 레고 조립 사진을 찍었는데, 사진을 구분해서 정리하고 싶어. 레고 조립의 주제, 색깔, 크기 등을 고려해서 분류하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"큰아버지가 물고기 양어를 시작해서 사진을 찍고 있는데, 물고기의 상태를 파악해서 사진을 분류하고 싶어. 물고기의 몸짓, 헤엄침, 눈 깜빡임 등을 고려해서 상태를 구분하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"동생이 새로운 카메라를 샀는데, 많은 사진을 찍고 있는데, 사진을 잘 구분해서 정리하고 싶어. 사진 속에 있는 색상, 빛의 세기, 사물의 크기 등을 고려해서 분류하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"여자친구가 사진 찍는 걸 좋아하는데, 최근에 여행 갔을 때 찍은 사진들을 정리하고 싶어. 관광지, 음식, 풍경 등 카테고리를 나누어서 분류하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"요즘 커피를 직접 내려먹는 걸 좋아하는데, 커피 종류별로 사진을 찍어서 분류하고 싶어. 커피 색깔, 크기 등을 기준으로 분류를 하고싶어. 어떤 방법으로 분류해야 할까?",image,classification,efficientNet,3
"엄마가 요리를 좋아하는데, 최근에 만들어본 디저트 사진들을 보면서 종류별로 구분하고 싶어. 색깔, 재료 등을 고려하려고 해. 어떻게 분류하는 방법이 좋을지 추천해줘.",image,classification,efficientNet,3
"새로운 취미로 인테리어를 시작했는데, 방마다 찍은 사진들을 분류하고 싶어. 방 색깔, 가구, 물건 등을 고려해서 카테고리별로 나누려고 해. 어떤 방법으로 분류해야 좋을지 추천해줘.",image,classification,efficientNet,3
"실외에서 자주 사진을 찍는 편이야. 산책로, 공원, 해변 등 사진들을 장소별로 구분하고 싶어. 어떤 방법으로 분류하는 게 좋을까?",image,classification,efficientNet,3
"블로그를 운영하면서 사진을 많이 찍게 되는데, 그 중에서도 어떤 사진들이 성공적인 포스팅에 도움이 되는지 알아내고 싶다. 사진 속에서 눈에 띄는 요소들을 파악해서 분류하는 방법이 있을까? 어떤 방법이 좋을까?",image,classification,efficientNet,3
"애완동물을 입양해서 많은 사진을 찍었는데, 사진 속에서 강아지의 상태(좋은 기분, 나쁜 기분 등)를 파악해서 분류하고 싶어. 강아지의 표정, 몸짓, 귀의 방향 등을 고려해서 구분하려고 해. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"새로운 취미로 자수를 시작했는데, 내가 만든 작품들을 분류하고 싶다. 어떤 작품이 어디에 들어갈지, 어떤 색으로 만들어졌는지 등을 기준으로 분류하려고 한다. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"회사에서 새로운 프로젝트를 시작했는데, 이 프로젝트에서 수많은 이미지를 다루어야 한다. 이 이미지들을 분류하고 정리하는 방법이 필요하다. 어떤 방법이 좋을까?",image,classification,efficientNet,3
"형이 애완동물을 입양해서 많은 사진을 찍었는데, 사진 속에서 강아지의 상태(좋은 기분, 나쁜 기분 등)를 파악해서 분류하고 싶어. 강아지의 표정, 몸짓, 귀의 방향 등을 고려해서 구분하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"여행을 다녀와서 많은 사진을 찍었는데, 사진 속에서 각 장소의 분위기를 파악해서 분류하고 싶어. 장소마다 색감, 느낌, 물건들의 배치 등을 고려해서 구분하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"운동을 시작하면서 많은 사진을 찍고 있는데, 사진 속에서 나의 운동 자세를 분류하고 싶어. 운동 종류, 자세, 근육 부위 등을 고려해서 분류하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"요새 수영을 즐기면서 많은 사진을 찍고 있는데, 사진 속에서 수영 자세를 분류하고 싶어. 수영 종류, 자세, 스트로크 등을 고려해서 분류하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"여러 병원을 다니면서 많은 진단서를 받았는데, 각 진단서의 질병 유형을 분류하고 싶어. 증상, 진료과, 약물 등을 고려해서 분류하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"책을 많이 읽고 있어서 각 책의 장르를 분류하고 싶어. 소설, 에세이, 자기계발서 등을 고려해서 분류하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"여러 나라를 다녀와서 많은 사진을 찍었는데, 사진 속에서 각 나라의 문화를 파악해서 분류하고 싶어. 음식, 옷, 건물 등을 고려해서 구분하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"자전거를 타면서 많은 사진을 찍고 있는데, 사진 속에서 자전거 모델을 분류하고 싶어. 종류, 부품, 색상 등을 고려해서 분류하려고 해. 이를 위해 어떤 방법이 좋을까?",image,classification,efficientNet,3
"새 취미로 물고기를 기르기 시작했는데, 각 어종의 특징을 파악해서 분류하고 싶어. 물고기의 색상별로 구분하고 싶어. 어떤 방식이 있는지 추천해줘.",image,classification,efficientNet,3
"내 친구가 산에 올라갔을 때 찍은 사진을 보여줬어. 사진 속에는 하늘과 구름, 그리고 산 등이 보였어. 이 사진을 색감별로 분류해 보려면 어떤 방법이 좋을까?",image,classification,efficientNet,3
"나는 공원에서 산책을 하다가 강아지를 만났어. 그 강아지는 노란색 털을 가지고 있었고, 꼬리가 길었어. 이런 강아지를 분류하는 방법이 있을까?",image,classification,efficientNet,3
"내가 찍은 사진에는 많은 사람들이 나와 있었어. 그들 중에서도 몇몇은 흰색 옷을 입고 있었고, 다른 사람들은 검은색 옷을 입고 있었어. 이런 사람들을 분류하는 방법이 있을까?",image,classification,efficientNet,3
"내가 찍은 사진에는 농장의 동물들이 보였어. 그 중에서도 몇몇은 양이었고, 다른 동물들은 말과 닭이었어. 이런 동물들을 분류하는 방법이 있을까?",image,classification,efficientNet,3
"저는 최근에 여행을 다녀왔는데, 그 때 찍은 사진들이 참 예쁘게 나와서 기분 좋아졌어요. 특히 사진에서 볼 수 있는 건물들의 디테일이 매우 놀라웠습니다. 이번에는 이 건물들을 특징을 분류하고 싶어서 어떤 방식이 좋을지 고민 중입니다.",image,classification,efficientNet,3
